Title,Authors,Venues,Years,Types,Months,Tracks,Editors&Pages,Publishers,Awards,VenueNames,PDFNames,Sub-topics,Topics,Presentation
Towards Building a Universal Defect Prediction Model,"Feng Zhang, Audris Mockus, Iman Keivanloo, Ying Zou",MSR,2014,Refereed Conference and Workshop Publications,5,,pp. 182-191,,ACM Distinguished Paper Award. Journal of Empirical Software Engineering special issue invitation,,MSR-Feng-2014,Defect Prediction,Defect Prediction,
Towards Quality of Experience Driven Service Composition,"Bipin Upadhyaya, Ying Zou, Joanna Ng, Tinny Ng, Diana H. Lau",Services,2014,Refereed Conference and Workshop Publications,6,,pp. 18-20,,,,Services-Bipin-2014,"Service Composition, User Perceived Quality","Software Quality, Web Services and Web Applications",
An Automatic Approach for Service Composition by Mining Process Knowledge from the Web,"Bipin Upadhyaya, Ying Zou, Shaohua Wang, Joanna Ng",ICSOC,2013,Refereed Conference and Workshop Publications,12,LNCS 8274,pp. 267-282,Springer Berlin Heidelberg,,,ICSOC-Bipin-2013,"Service Composition, Knowledge Mining","Software Quality, Web Services and Web Applications",
An Empirical Study of the Factors Affecting Co-Change Frequency of Cloned Code,"Lionel Marks, Ying Zou, Iman Keivanloo",CASCON(Prev.),2013,Refereed Conference and Workshop Publications,11,,pp. 161-175,,,,CASCON-Lionel-2013,Code Clones,Code Clones,
How does Context affect the Distribution of Software Maintainability Metrics?,"Feng Zhang, Audris Mockus, Ying Zou, Foutse Khomh, Ahmed E. Hassan",ICSME,2013,Refereed Conference and Workshop Publications,9,,pp. 350-359,,,,ICSM-Feng-2013,Software Metrics,Software Quality,
Towards Cloud-Based Analytics-as-a-Service (CLAaaS) for Big Data Analytics in the Cloud,"Farhana H. Zulkernine, Patrick Martin, Ying Zou, Michael Bauer, Femida Gwadry-Sridhar, Ashraf Aboulnaga",Others,2013,Refereed Conference and Workshop Publications,6,,pp. 62-69,,,IEEE International Congress on Big Data,ICBD-Farhana-2013,Cloud-Based Analytics,Software Analytics,
Predicting Bugs using Antipatterns,"Seyyed Ehsan Salamati Taba, Foutse Khomh, Ying Zou, Ahmed E. Hassan, Meiyappan Nagappan",ICSME,2013,Refereed Conference and Workshop Publications,9,,pp. 270-279,,,,ICSM-Seyyed-2013,Defect Prediction,Defect Prediction,
An Intelligent Framework for Auto-filling Web Forms from Different Web Applications,"Shaohua Wang, Ying Zou, Bipin Upadhyaya, Joanna Ng","Services, PWT",2013,Refereed Conference and Workshop Publications,6,,pp. 175-179,,,,PWT-Shaohua-2013,"Autofilling, Web Applications",Web Services and Web Applications,
Improving Bug Localization Using Correlations in Crash Reports,"Shaohua Wang, Foutse Khomh, Ying Zou",MSR,2013,Refereed Conference and Workshop Publications,5,,pp. 247-256,,Best Paper Award Nomination. Journal of Empirical Software Engineering special issue invitation,,MSR-Shaohua-2013,"Crash Reports, Bug Localization",Defect Prediction,
An Empirical Study of the Fault-proneness of Clone Mutation and Clone Migration,"Shuai Xie, Foutse Khomh, Ying Zou",MSR,2013,Refereed Conference and Workshop Publications,5,,pp. 149-158,,,,MSR-Shuai-2013,"Clone Evolution, Code Clones",Code Clones,
A Concept Analysis Approach for Guiding Users in Service Discovery,"Bipin Upadhyaya, Foutse Khomh, Ying Zou, Alex Lau, Joanna Ng",SOCA(Conf.),2012,Refereed Conference and Workshop Publications,12,,pp. 1-8,,Best Paper Nomination,,SOCA-Bipin-2012,"Web Services, Service Discovery",Web Services and Web Applications,
Extracting RESTful Services from Web Applications,"Bipin Upadhyaya, Foutse Khomh, Ying Zou",SOCA(Conf.),2012,Refereed Conference and Workshop Publications,12,,pp. 1-4,,,,SOCA-Bipin-2012-2,"Web Services, Service Migration",Web Services and Web Applications,
Integrating Heterogeneous Web Services from an End User Perspective,"Bipin Upadhyaya, Ying Zou",MIDDLEWARE,2012,Refereed Conference and Workshop Publications,12,Doctoral Symposium,Article No 7,,,,MID-Bipin-2012,"Web Services, Service Composition",Web Services and Web Applications,
An Empirical Study of the Effect of File Editing Patterns on Software Quality,"Feng Zhang, Foutse Khomh, Ying Zou, Ahmed E. Hassan",WCRE,2012,Refereed Conference and Workshop Publications,10,,pp. 456-465,,One of the Best Papers in WCRE 2012. Journal of Software: Evolution and Process special issue invitation,,WCRE-Feng-2012,Software Quality,Software Quality,
An Empirical Study on Factors Impacting Bug Fixing Time,"Feng Zhang, Foutse Khomh, Ying Zou, Ahmed E. Hassan",WCRE,2012,Refereed Conference and Workshop Publications,10,,pp. 225-234,,,,WCRE-Feng-2012-2,Bug Fix,Defect Prediction,
Inferring Repository File Structure Modifications Using Nearest-Neighbor Clone Detection,"Thierry Lavoie, Foutse Khomh, Ettore Merlo, Ying Zou",WCRE,2012,Refereed Conference and Workshop Publications,11,,pp. 325-334,,,,WCRE-Thierry-2012,"Code Clones, Clone Detection",Code Clones,
Adapting Linux for Mobile Platforms: An Empirical Study of Android,"Foutse Khomh, Hao Yuan, Ying Zou",ICSME,2012,Refereed Conference and Workshop Publications,9,Early Research Achievements Track,pp. 629-632,,,,ICSME-Foutse-2012,Mobile Applications,Mobile Applications,
Recovering Commit Dependencies for Selective Code Integration in Software Product Lines,"Tejinder Dhaliwal, Foutse Khomh, Ying Zou, Ahmed E. Hassan",ICSME,2012,Refereed Conference and Workshop Publications,9,,pp. 202-211,,,,ICSME-Tejinder-2012,Code Integration,Software Analytics,
An Empirical Study of Build System Migrations in Practice: Case Studies on KDE and the Linux Kernel,"Roman Suvorov, Bram Adams, Meiyappan Nagappan, Ahmed E. Hassan, Ying Zou",ICSME,2012,Refereed Conference and Workshop Publications,9,,pp. 160-169,,,,ICSME-Roman-2012,Build Systems,Build Systems,
Do Faster Releases Improve Software Quality? An Empirical Case Study of Mozilla Firefox,"Foutse Khomh, Tejinder Dhaliwal, Ying Zou, Bram Adams",MSR,2012,Refereed Conference and Workshop Publications,6,,pp. 179-188,,One of the Best Papers in MSR 2012. Journal of Empirical Software Engineering special issue invitation,,MSR-Khomh-2012,Rapid Releases,Software Analytics,
An Entropy Evaluation Approach for Triaging Field Crashes: A Case Study of Mozilla Firefox,"Foutse Khomh, Brian Chan, Ying Zou, Ahmed E. Hassan",WCRE,2011,Refereed Conference and Workshop Publications,10,,pp. 253-262,,,,WCRE-Foutse-2011,Crash Reports,Defect Prediction,
Modeling the Performance of Ultra-Large-Scale Systems Using Layered Simulations,"King Chun Foo, Zhen Ming Jiang, Bram Adams, Ahmed E. Hassan, Ying Zou, Kim Martin, Parminder Flora",MESOCA,2011,Refereed Conference and Workshop Publications,9,,pp. 1-10,,,,MESOCA-King-2011,Software Performance,Software Quality,
Migration of SOAP-based Services to RESTful Services,"Bipin Upadhyaya, Ying Zou, Hua Xiao, Joanna Ng, Alex Lau",WSE,2011,Refereed Conference and Workshop Publications,9,,pp. 105-114,,,,WSE-Bipin-2011,Web Services,Web Services and Web Applications,
Using Indexed Sequence Diagrams to Recover the Behaviour of AJAX Applications,"Shane McIntosh, Bram Adams, Ahmed E. Hassan, Ying Zou",WSE,2011,Refereed Conference and Workshop Publications,9,,pp. 1-10,,,,WSE-Shane-2011,Web Applications,Web Services and Web Applications,
Studying the Fix-Time for Bugs in Large Open Source Projects,"Lionel Marks, Ahmed E. Hassan, Ying Zou",Promise,2011,Refereed Conference and Workshop Publications,9,,Article No 11,,,,Promise-Lionel-2011,Bug Fix,Defect Prediction,
Predicting Post-release Defects Using Pre-release Field Testing Results,"Foutse Khomh, Brian Chan, Ying Zou, Anand Sinha, Dave Dietz",ICSME,2011,Refereed Conference and Workshop Publications,9,,pp. 253-262,,,,ICSME-Foutse-2011,Defect Prediction,Defect Prediction,
Classifying Field Crash Reports for Fixing Bugs: A Case Study of Mozilla Firefox,"Tejinder Dhaliwal, Foutse Khomh, Ying Zou",ICSME,2011,Refereed Conference and Workshop Publications,9,,pp. 333-342,,,,ICSME-Tejinder-2011,Crash Reports,Defect Prediction,
Late Propagation in Software Clones,"Liliane Barbour, Foutse Khomh, Ying Zou",ICSME,2011,Refereed Conference and Workshop Publications,9,,pp. 273-282,,One of the Best Papers ICSME 2011. Journal of Software: Evolution and Process special issue invitation,,ICSME-Liliane-2011,"Code Clones, Clone Evolution",Code Clones,
Exploring the Development of Micro-Apps: A Case Study on the BlackBerry and Android Platforms,"Mark D. Syer, Bram Adams, Ying Zou, Ahmed E. Hassan",SCAM,2011,Refereed Conference and Workshop Publications,9,,pp. 55-64,,,,SCAM-Mark-2011,Mobile Applications,Mobile Applications,
An Automatic Approach for Extracting Process Knowledge from the Web,"Hua Xiao, Bipin Upadhyaya, Foutse Khomh, Ying Zou, Joanna Ng, Alex Lau",ICWS,2011,Refereed Conference and Workshop Publications,7,New Application and Experience Track,pp. 315-322,,,,ICWS-Hua-2011,"Web Services, Knowledge Mining",Web Services and Web Applications,
Improving the Modifiability of the Architecture for Business Applications,"Xulin Zhao, Foutse Khomh, Ying Zou",QSIC,2011,Refereed Conference and Workshop Publications,7,,pp. 176-185,,,,QSIC-Xulin-2011,Business Process Driven Development,Business Process Driven Development,
The 3rd Workshop on Automatic Service Composition,"Ying Zou, Bipin Upadhyaya, Alex Lau, Joanna Ng",CASCON,2011,Refereed Conference and Workshop Publications,11,,pp. 340-341,,,,CASCON-Ying-2011,Service Composition,Web Services and Web Applications,
An Approach for Describing Heterogeneous Web Resources in a Unified Schema,"Ran Tang, Ying Zou",SOCA(Conf.),2010,Refereed Conference and Workshop Publications,12,,pp. 1-8,,"Best Paper Award, 2nd Place",,SOCA-Ran-2010,Web Services,Web Services and Web Applications,
A Framework for Composing Web Resources,"Hua Xiao, Bipin Upadhyaya, Ran Tang, Ying Zou, Joanna Ng, Alex Lau",CASCON,2010,Refereed Conference and Workshop Publications,11,Symposium on the Personal Web,6 pp.,,,,CASCON-Hua-2010,Service Composition,Web Services and Web Applications,
Enhancing Source-Based Clone Detection Using Intermediate Representation,"Gehan M. K. Selim, King Chun Foo, Ying Zou",WCRE,2010,Refereed Conference and Workshop Publications,10,,pp. 227-236,,,,WCRE-Gehan-2010,"Code Clones, Clone Detection",Code Clones,
Studying the Impact of Clones on Software Defects,"Gehan M. K. Selim, Liliane Barbour, Weiyi Shang, Bram Adams, Ahmed E. Hassan, Ying Zou",WCRE,2010,Refereed Conference and Workshop Publications,10,,pp. 13-21,,,,WCRE-Gehan-2010-2,"Code Clones, Defects","Code Clones, Defect Prediction",
An Approach for Mining Web Service Composition Patterns from Execution Logs,"Ran Tang, Ying Zou",WSE,2010,Refereed Conference and Workshop Publications,9,,pp. 53-62,,One of the Best Papers in WSE 2010. Journal of Software: Evolution and Process special issue invitation,,WSE-Ran-2010,Web Services,Web Services and Web Applications,
An Approach for Context-Aware Service Discovery and Recommendation,"Hua Xiao, Ying Zou, Joanna Ng, Leho Nigul",ICWS,2010,Refereed Conference and Workshop Publications,7,,pp. 163-170,,,,ICWS-Hua-2010,"Web Services, Service Discovery",Web Services and Web Applications,
An Approach for Mining Web Service Composition Patterns from Execution Logs,"Ran Tang, Ying Zou",ICWS,2010,Refereed Conference and Workshop Publications,7,,pp. 678-679,,,,ICWS-Ran-2010,"Web Services, Service Composition",Web Services and Web Applications,
A Technique for Just-In-Time Clone Detection in Large Scale Systems,"Liliane Barbour, Hao Yuan, Ying Zou",ICPC,2010,Refereed Conference and Workshop Publications,6,,pp. 76-79,,,,ICPC-Liliane-2010,"Code Clones, Clone Detection",Code Clones,
Visualizing the Results of Field Testing,"Brian Chan, Ying Zou, Ahmed E. Hassan, Anand Sinha",ICPC,2010,Refereed Conference and Workshop Publications,6,,pp. 114-123,,,,ICPC-Brian-2010,Field Testing,Defect Prediction,
Mining Performance Regression Testing Repositories for Automated Performance Analysis,"King Chun Foo, Zhen Ming Jiang, Bram Adams, Ahmed E. Hassan, Ying Zou, Parminder Flora",QSIC,2010,Refereed Conference and Workshop Publications,7,,pp. 32-41,,,,QSIC-King-2010,Performance Regression Testing,Others,
A Business Process Driven Approach for Generating Software Architecture,"Xulin Zhao, Ying Zou",QSIC,2010,Refereed Conference and Workshop Publications,7,,pp. 180-189,,One of the Best Papers in QSIC 2010. Journal of Software Practice and Experience special issue invitation,,QSIC-Xulin-2010,Business Process Driven Development,Business Process Driven Development,
A Case Study on the Impact of Global Participation on Mailing Lists Communications of Open Source Projects,"Ran Tang, Ahmed E. Hassan, Ying Zou",KCSD,2009,Refereed Conference and Workshop Publications,11,,pp. 63-76,,,,KCSD-Ran-2009,Mailing Lists,Software Analytics,
Personalized Service Discovery and Composition,"Hua Xiao, Ying Zou, Joanna Ng, Leho Nigul","CASCON, SITCON",2009,Refereed Conference and Workshop Publications,11,,6 pp.,Springer Berlin Heidelberg,Smart Internet book chapter invitation,,CASCON-Hua-2009,"Web Services, Personalization, Service Discovery, Service Composition",Web Services and Web Applications,
An Automatic Approach for Ontology-Driven Service Composition,"Hua Xiao, Ying Zou, Ran Tang, Joanna Ng, Leho Nigul",SOCA(Conf.),2009,Refereed Conference and Workshop Publications,1,,pp. 17-24,,One of the Best Papers in SOCA 2009. Journal of Service-Oriented Computing and Applications special issue invitation,,SOCA-Hua-2009,"Web Services, Service Composition, Ontology",Web Services and Web Applications,
Techniques for Identifying the Country Origin of Mailing List Participants,"Ran Tang, Ahmed E. Hassan, Ying Zou",WCRE,2009,Refereed Conference and Workshop Publications,10,,pp. 36-40,,,,WCRE-Ran-2009,Mailing Lists,Software Analytics,
An Empirical Study on Inconsistent Changes to Code Clones at Release Level,"Nicolas Bettenburg, Weiyi Shang, Walid M. Ibrahim, Bram Adams, Ying Zou, Ahmed E. Hassan",WCRE,2009,Refereed Conference and Workshop Publications,10,,pp. 85-94,,One of the Best Papers in WCRE 2009. Journal of Science of Computer Programming special issue invitation,,WCRE-Nicolas-2009,"Code Clones, Clone Evolution",Code Clones,
Visualizing the Structure of Field Testing Problems,"Brian Chan, Ying Zou, Ahmed E. Hassan, Anand Sinha",ICSME,2009,Refereed Conference and Workshop Publications,9,Industrial Track,pp. 429-432,,,,ICSME-Brian-2009,Field Testing,Defect Prediction,
Detecting Clones in Business Applications,"Jin Guo, Ying Zou",WCRE,2008,Refereed Conference and Workshop Publications,10,,pp. 91-100,,,,WCRE-Jin-2008,"Code Clones, Clone Detection",Code Clones,
A Business Process Explorer: Recovering Business Processes from Business Applications,"Jin Guo, Ying Zou",WCRE,2008,Refereed Conference and Workshop Publications,10,Demonstration Track,pp. 333-334,,,,WCRE-Jin-2008-2,Business Process Recovery,Business Process Recovery,
An Approach for Estimating Code Changes in E-Commerce Applications,"Brian Chan, Lionel Marks, Ying Zou",WSE,2008,Refereed Conference and Workshop Publications,10,,pp. 111-120,,One of the Best Papers in WSE 2008. Journal on Software Tools for Technology Transfer (STTT) special issue invitation,,WSE-Brian-2008,Effort Estimation,Software Evolution,
A Framework for Verifying SLA Compliance in Composed Services,"Hua Xiao, Brian Chan, Ying Zou, Jay W. Benayon, Bill O' Farrell, Elena Litani, Jen Hawkins",ICWS,2008,Refereed Conference and Workshop Publications,9,Industry Track,pp. 457-464,,,,ICWS-Hua-2008,Service Composition,Web Services and Web Applications,
A Business Process Explorer: Recovering and Visualizing E-Commerce Business Processes,"Jin Guo, King Chun Foo, Liliane Barbour, Ying Zou",ICSE,2008,Refereed Conference and Workshop Publications,5,Formal Research Demonstration Track,pp. 871-874,,,,ICSE-Jin-2008,Business Process Recovery,Business Process Recovery,
Verifying Business Processes Extracted from E-Commerce Systems using Dynamic Analysis,"King Chun Foo, Jin Guo, Ying Zou","WCRE, PCODA",2007,Refereed Conference and Workshop Publications,10,,pp. 43-48,,,,WCRE-King-2007,Business Process Recovery,Business Process Recovery,
A Framework for Incorporating Usability into Model Transformations,"Xulin Zhao, Ying Zou",MDDAUI,2007,Refereed Conference and Workshop Publications,9,,5 pp.,,,,MDDAUI-Xulin-2007,Model Transformation,Others,
A Business-Process-Driven Approach for Generating E-Commerce User Interfaces,"Xulin Zhao, Ying Zou, Jen Hawkins, Bhadri Madapusi",MODELS,2007,Refereed Conference and Workshop Publications,9,LNCS 4735,pp. 256-270,Springer Berlin Heidelberg,,,MODELS-Xulin-2007,Business Process Driven Development,Business Process Driven Development,
Recovering Workflows from Multi Tiered E-Commerce Systems,"Maokeng Hung, Ying Zou",ICPC,2007,Refereed Conference and Workshop Publications,6,,pp. 198-207,,,,ICPC-Maokeng-2007,Business Process Recovery,Business Process Recovery,
Weaving Business Requirements into Model TransformationsY,"Ying Zou, Hua Xiao, Brian Chan",AOSD,2007,Refereed Conference and Workshop Publications,3,,10 pp.,,,,AOSD-Ying-2007,Business Process Driven Development,Business Process Driven Development,
Supporting Change Impact Analysis for Service Oriented Business Applications,"Hua Xiao, Jin Guo, Ying Zou","ICSE, SDSOA",2007,Refereed Conference and Workshop Publications,5,,6 pp.,,,,ICSE-Hua-2007,Web Services,Web Services and Web Applications,
Reengineering User Interfaces of E-Commerce Applications Using Business Processes,"Qi Zhang, Rongchao Chen, Ying Zou",ICSM,2006,Refereed Conference and Workshop Publications,9,,pp. 428-437,,Best Paper Award Nomination. IEEE Transactions in Software Engineering special issue invitation,,ICSM-Qi-2006,Software Re-engineering,Software Evolution,
Developing an Adaptive User Interface in Eclipse,"Alex Leung, Scott Morisson, Matt Wringe, Ying Zou",Others,2006,Refereed Conference and Workshop Publications,10,,7 pp.,,,The Eclipse Technology eXchange Workshop,ECLIPSE-Alex-2006,"User Interface, Adaption",Others,
An Approach for Extracting Workflows from E-Commerce Application,"Ying Zou, Maokeng Hung",ICPC,2006,Refereed Conference and Workshop Publications,6,,pp. 127-136,,,,ICPC-Ying-2006,Business Process Recovery,Business Process Recovery,
A Framework for Automatic Generation of Evolvable E-Commerce Workplaces Using Business Processes,"Ying Zou, Qi Zhang",ICSE,2006,Refereed Conference and Workshop Publications,5,Research Demonstration Track,pp. 799-802,,,,ICSE-Ying-2006,Business Process Driven Development,Business Process Driven Development,
RETR: Reverse Engineering to Requirements,"Yijun Yu, John Mylopoulos, Yiqiao Wang, Sotirios Liaskos, Alexei Lapouchnian, Ying Zou, Marin Litiou, Julio C.S.P. Leite",WCRE,2005,Refereed Conference and Workshop Publications,11,,pp. 234,,,,WCRE-Yijun-2005,Others,Others,
Extracting Business Policy and Business Data from the Three-Tier Architecture Systems,"Maokeng Hung, Ying Zou","WCRE, RETR",2005,Refereed Conference and Workshop Publications,11,,pp. 24-28,,,,WCRE-Maokeng-2005,Business Process Recovery,Business Process Recovery,
Automated Workplace Design and Reconfiguration for Evolving Business Processes,"Qi Zhang, Ying Zou, Tack Tong, Ross McKegney, Jen Hawkins",CASCON,2005,Refereed Conference and Workshop Publications,10,,pp. 320-333,,,,CASCON-Qi-2005,Business Process Driven Development,Business Process Driven Development,
A Framework for Extracting Workflows from E-Commerce Systems,"Maokeng Hung, Ying Zou",STEP,2005,Refereed Conference and Workshop Publications,9,,pp. 43-46,,,,STEP-Maokeng-2005,Business Process Recovery,Business Process Recovery,
Developing Navigational User Interfaces using Business Processes,"Ying Zou, Qi Zhang, Rongchao Chen",STEP,2005,Refereed Conference and Workshop Publications,9,,pp. 87-91,,,,STEP-Qi-2005,Business Process Driven Development,Business Process Driven Development,
Quality Driven Software Migration of Procedural Code to Object-Oriented Design,Ying Zou,ICSM,2005,Refereed Conference and Workshop Publications,9,,pp. 709-713,,,,ICSM-Ying-2005,Software Migration,Software Evolution,
Using Self-Reconfigurable Workplaces to Automate the Maintenance of Evolving Business Applications,"Qi Zhang, Ying Zou",ICSME,2005,Refereed Conference and Workshop Publications,9,,pp. 219-229,,,,ICSME-Qi-2005,Business Process Driven Development,Business Process Driven Development,
Model Driven Business Process Recovery,"Ying Zou, Terence Lau, Kostas Kontogiannis, Tack Tong, Ross McKegney",WCRE,2004,Refereed Conference and Workshop Publications,11,,pp. 224-233,,,,WCRE-Ying-2004,Business Process Recovery,Business Process Recovery,
Incremental Quality Driven Software Migration to Object Oriented Systems,Ying Zou,ICSME,2004,Refereed Conference and Workshop Publications,9,,pp. 136-146,,,,ICSME-Ying-2004,Software Migration,Software Evolution,
Model Synchronization for Efficient Software Application Maintenance,"Terence Lau, Tack Tong, Ross McKegney, Kostas Kontogiannis, Igor Ivkovic, Philip Liew, Ying Zou, Qi Zhang, Maokeng Hung",ICSME,2004,Refereed Conference and Workshop Publications,9,,pp. 499,,,,ICSME-Terence-2004,Business Process Driven Development,Business Process Driven Development,
Incorporating Quality Requirements in Software Migration Process,Ying Zou,STEP,2003,Refereed Conference and Workshop Publications,9,,pp. 175-185,,,,STEP-Ying-2004,Software Migration,Software Evolution,
Adoption-Centric Software Evolution,"Ying Zou, Kostas Kontogiannis","ICSE, ACSE",2004,Refereed Conference and Workshop Publications,5,,pp. 3-6,,,,ACSE-Ying-2004,Software Evolution,Software Evolution,
Incremental Transformation of Procedural Systems to Object Oriented Platforms,"Ying Zou, Kostas Kontogiannis",COMPSAC,2003,Refereed Conference and Workshop Publications,11,,pp. 290-295,,,,COMPSAC-Ying-2003,Software Migration,Software Evolution,
Incorporating Quality Requirements in Software Migration Progress,Ying Zou,"STEP, SAM",2003,Refereed Conference and Workshop Publications,9,,pp. 175-185,,,,STEP-Ying-2003,Software Migration,Software Evolution,
Challenges in Integrating Web Services,Ying Zou,"STEP, EAI",2003,Refereed Conference and Workshop Publications,9,,3 pp.,,,,,Web Services,Web Services and Web Applications,
Quality Driven Transformation Framework for Object Oriented Migration,"Ying Zou, Kostas Kontogiannis",Others,2003,Refereed Conference and Workshop Publications,2,,6 pp.,,,ASERC Workshop on Software Architecture,ASERC-Ying-2003,Software Migration,Software Evolution,
Quality Driven Transformation Compositions for Object Oriented Migration,"Ying Zou, Kostas Kontogiannis",APSEC,2002,Refereed Conference and Workshop Publications,12,,pp. 346-355,,,,APSEC-Ying-2002,Software Migration,Software Evolution,
Migration to Object Oriented Platforms: A State Transformation Approach,"Ying Zou, Kostas Kontogiannis",ICSM,2002,Refereed Conference and Workshop Publications,10,,pp. 530-539,,,,ICSM-Ying-2002,Software Migration,Software Evolution,
A Framework for Migrating Procedural Code to Object-Oriented Platforms,"Ying Zou, Kostas Kontogiannis",APSEC,2001,Refereed Conference and Workshop Publications,12,,pp. 390-399,,,,APSEC-Ying-2001,Software Migration,Software Evolution,
Towards A Portable XML-based Source Code Representation,"Ying Zou, Kostas Kontogiannis","ICSE, XSE",2001,Refereed Conference and Workshop Publications,5,,4 pp.,,,,ICSE-Ying-2001,Code Representation,Software Evolution,
Towards a Web-Centric Legacy System Migration,"Ying Zou, Kostas Kontogiannis","ICSE, NCC",2001,Refereed Conference and Workshop Publications,5,,4 pp.,,,,ICSE-Ying-2001-2,Software Migration,Software Evolution,
Web-based Legacy System Migration and Integration,"Ying Zou, Kostas Kontogiannis",Others,2000,Refereed Conference and Workshop Publications,7,,pp. 254-260,,,"World Multi-conference on Systemics, Cybernetics and Informatics",WMC-Ying-2000,Software Migration,Software Evolution,
Migration and Web-Based Integration of Legacy Services,"Ying Zou, Kostas Kontogiannis",CASCON(Prev.),2000,Refereed Conference and Workshop Publications,11,,pp. 262-277,,,,CASCON-Ying-2000,Software Migration,Software Evolution,
Migrating and Specifying Services for Web Integration,"Ying Zou, Kostas Kontogiannis",EDO,2000,Refereed Conference and Workshop Publications,11,LNCS 1999,pp. 253-270,Springer Berlin Heidelberg,,,EDO-Ying-2000,Software Migration,Software Evolution,
Localizing and Using Services in Web-Enabled Environments,"Ying Zou, Kostas Kontogiannis",WSE,2000,Refereed Conference and Workshop Publications,3,,pp. 57-60,,,,WSE-Ying-2000,Software Migration,Software Evolution,
Migration of Procedural Systems to Network-Centric Platforms,"Prashant Patil, Ying Zou, Kostas Kontogiannis, John Mylopoulos",CASCON(Prev.),1999,Refereed Conference and Workshop Publications,11,,pp. 68-82,,,,CASCON-Ying-1999,Software Migration,Software Evolution,
Enabling Technologies for Web-Based Legacy System Integration,"Ying Zou, Kostas Kontogiannis",WSE,1999,Refereed Conference and Workshop Publications,10,,pp. 53-57,,,,WSE-Ying-1999,Software Migration,Software Evolution,
System and Method for Dynamically Configuring User Interface Components of a Collaborative Space based on Mapping Rules and User Roles,"Ying Zou, Qi Zhang, Tack Tong, Ross McKegney, Mark William Hubbard",Others,2014,Patents,1,,,,,"Filed by IBM Canada, No. US8635094 B2 (US Patent)",https://patents.google.com/patent/CN1936943A/en,Others,Others,
Methods for Generating Auxiliary Data Operations for a Role Based Personalized Business User Workplace,"Ying Zou, Qi Zhang, Tack Tong, Ross McKegney, Jen Hawkins",Others,2008,Patents,4,,,,,"Filed by IBM Canada, US 20080082390 A1 (US Patent)",https://patents.google.com/patent/US20080082390A1/en,Others,Others,
Leveraging the Social Knowledge of Software Systems to Improve the Development Process,Mariam EI Mezouar,Others,2019,Theses,9,,252 pp.,,,Ph.D. Thesis,Thesis-Mariam-2019,"Social Media, Software Analytics",Software Analytics,
A Smart Agent Framework for Personalized Service Composition,Yu Zhao,Others,2019,Theses,9,,223 pp.,,,Ph.D. Thesis,Zhao_Yu_201909_PHD,"Web Services, Service Composition",Web Services and Web Applications,
Succeeding in Mobile Application Markets (From Development Point of View),Ehsan Noei,Others,2018,Theses,10,,203 pp.,,,Ph.D. Thesis,Noei_Ehsan_201809_PhD,"Mobile Applications, Software Analytics","Mobile Applications, Software Analytics",
Towards Generalizing Defect Prediction Models,Feng Zhang,Others,2016,Theses,1,,239 pp.,,,Ph.D. Thesis,Zhang_Feng_201601_PHD,"Defect Prediction, Software Analytics","Defect Prediction, Software Analytics",
Assisting End-users in Filling Out Web Services,Shaohua Wang,Others,2016,Theses,5,,207 pp.,,,Ph.D. Thesis,Wang_Shaohua_201605_PhD,"Web Services, Service Composition",Web Services and Web Applications,
Composing Heterogeneous Services From End Users' Perspective,Bipin Upadhyaya,Others,2014,Theses,6,,248 pp.,,,Ph.D. Thesis,Upadhyaya_Bipin_201406_PhD,"Web Services, Service Composition",Web Services and Web Applications,
A Business Process Driven Approach for Automatic Generation of Business Applications,Xulin Zhao,Others,2011,Theses,1,,173 pp.,,,Ph.D. Thesis,Zhao_Xulin_201101_PhD,"Software Evolution, Business Process Driven Development","Software Evolution, Business Process Driven Development",
End-User Driven Service Composition for Constructing Personalized Service Oriented Applications,Hua Xiao,Others,2011,Theses,9,,173 pp.,,,Ph.D. Thesis,Xiao_Hua_201109_PhD,"Web Services, Service Composition",Web Services and Web Applications,
A Personalized Software Assistant Framework to Achieve User Goals,Pradeep K. Venkatesh,Others,2017,Theses,9,,96 pp.,,,Master's Thesis,Venkatesh_Pradeep_K_201709_MASC,"Web Services, Service Composition",Web Services and Web Applications,
Empirical Studies on Reducing Developers' Effort Spent on Resolving Software Issues,Yonghui Huang,Others,2017,Theses,7,,105 pp.,,,Master's Thesis,Huang_Yonghui_201707_MASC,"Defect Prediction, Software Analytics","Defect Prediction, Software Analytics",
Improving Code Search Using Learning-to-Rank and Query Reformulation Techniques,Haoran Niu,Others,2015,Theses,7,,111 pp.,,,Master's Thesis,Niu_Haoran_201507_MASC,Code Search,Code Search,
Empirical Studies on the Relation between User Interface Design and Perceived Quality of Android Applications,Seyyed Ehsan Salamati Taba,Others,2014,Theses,8,,113 pp.,,,Master's Thesis,SalamatiTaba_SeyyedEhsan_201408_MSc,Mobile Applications,Mobile Applications,
Empirical Studies of Clone Mutation and Clone Migration in Clone Genealogies,Shuai Xie,Others,2013,Theses,9,,101 pp.,,,Master's Thesis,Xie_Shuai_201309_MASC,"Code Clones, Clone Evolution",Code Clones,
Techniques for Improving Software Development Processes by Mining Software Repositories,Tejinder Dhaliwal,Others,2012,Theses,9,,92 pp.,,,Master's Thesis,Dhaliwal_Tejinder_201209_MASC,Software Analytics,Software Analytics,
